ダウンロードした時刻：2024/06/29 10:35:15

,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜
年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2023/6/28,27.3,8,1,31.9,8,1,23.8,8,1
2023/6/29,27.5,8,1,31.9,8,1,23.9,8,1
2023/6/30,26.7,8,1,29.7,8,1,25.3,8,1
2023/7/1,25.2,8,1,28.7,8,1,21.5,8,1
2023/7/2,25.4,8,1,31.2,8,1,20.6,8,1
2023/7/3,26.4,8,1,30.7,8,1,23.3,8,1
2023/7/4,25.5,8,1,30.1,8,1,22.1,8,1
2023/7/5,25.0,8,1,28.2,8,1,22.6,8,1
2023/7/6,26.0,8,1,32.1,8,1,21.7,8,1
2023/7/7,27.4,8,1,32.5,8,1,23.7,8,1
2023/7/8,27.7,8,1,31.6,8,1,25.1,8,1
2023/7/9,28.0,8,1,30.5,8,1,26.5,8,1
2023/7/10,29.4,8,1,34.2,8,1,25.8,8,1
2023/7/11,29.2,8,1,33.8,8,1,25.8,8,1
2023/7/12,29.6,8,1,34.3,8,1,25.8,8,1
2023/7/13,27.6,8,1,28.8,8,1,26.4,8,1
2023/7/14,27.3,8,1,31.3,8,1,24.1,8,1
2023/7/15,28.1,8,1,31.1,8,1,26.6,8,1
2023/7/16,30.0,8,1,34.7,8,1,26.9,8,1
2023/7/17,31.0,8,1,35.7,8,1,26.5,8,1
2023/7/18,30.4,8,1,37.3,8,1,26.5,8,1
2023/7/19,29.2,8,1,33.3,8,1,26.5,8,1
2023/7/20,28.1,8,1,31.2,8,1,25.0,8,1
2023/7/21,27.2,8,1,31.5,8,1,24.9,8,1
2023/7/22,27.3,8,1,32.6,8,1,24.5,8,1
2023/7/23,27.2,8,1,33.3,8,1,24.1,8,1
2023/7/24,28.0,8,1,33.4,8,1,23.8,8,1
2023/7/25,29.2,8,1,36.2,8,1,24.7,8,1
2023/7/26,30.2,8,1,37.1,8,1,26.1,8,1
2023/7/27,29.7,8,1,35.3,8,1,26.2,8,1
2023/7/28,29.5,8,1,34.4,8,1,26.5,8,1
2023/7/29,29.6,8,1,34.4,8,1,26.2,8,1
2023/7/30,30.0,8,1,35.6,8,1,26.3,8,1
2023/7/31,30.1,8,1,34.9,8,1,27.3,8,1
2023/8/1,26.2,8,1,33.4,8,1,22.7,8,1
2023/8/2,28.6,8,1,34.1,8,1,24.2,8,1
2023/8/3,29.6,8,1,34.0,8,1,26.4,8,1
2023/8/4,30.1,8,1,34.6,8,1,26.7,8,1
2023/8/5,29.8,8,1,33.8,8,1,27.1,8,1
2023/8/6,28.4,8,1,32.6,8,1,25.8,8,1
2023/8/7,28.7,8,1,33.4,8,1,25.5,8,1
2023/8/8,29.7,8,1,34.1,8,1,26.9,8,1
2023/8/9,28.4,8,1,32.2,8,1,26.2,8,1
2023/8/10,29.3,8,1,33.6,8,1,26.4,8,1
2023/8/11,29.5,8,1,33.7,8,1,26.2,8,1
2023/8/12,29.9,8,1,35.1,8,1,26.8,8,1
2023/8/13,28.1,8,1,32.8,8,1,26.5,8,1
2023/8/14,28.7,8,1,33.1,8,1,26.1,8,1
2023/8/15,28.5,8,1,31.6,8,1,26.4,8,1
2023/8/16,28.1,8,1,31.5,8,1,26.2,8,1
2023/8/17,29.5,8,1,33.7,8,1,26.6,8,1
2023/8/18,29.6,8,1,33.7,8,1,26.9,8,1
2023/8/19,29.7,8,1,35.1,8,1,26.7,8,1
2023/8/20,30.2,8,1,35.5,8,1,27.0,8,1
2023/8/21,30.1,8,1,34.7,8,1,26.9,8,1
2023/8/22,28.8,8,1,33.3,8,1,26.7,8,1
2023/8/23,28.7,8,1,32.6,8,1,26.7,8,1
2023/8/24,29.1,8,1,33.5,8,1,26.7,8,1
2023/8/25,29.7,8,1,34.3,8,1,26.7,8,1
2023/8/26,29.2,8,1,34.1,8,1,26.3,8,1
2023/8/27,28.7,8,1,32.8,8,1,26.0,8,1
2023/8/28,29.4,8,1,34.2,8,1,26.3,8,1
2023/8/29,29.8,8,1,34.5,8,1,26.9,8,1
2023/8/30,29.4,8,1,34.1,8,1,26.4,8,1
2023/8/31,29.1,8,1,34.0,8,1,26.4,8,1
2023/9/1,29.3,8,1,33.7,8,1,26.1,8,1
2023/9/2,29.3,8,1,34.7,8,1,26.1,8,1
2023/9/3,29.3,8,1,34.1,8,1,26.6,8,1
2023/9/4,26.3,8,1,28.7,8,1,25.2,8,1
2023/9/5,28.9,8,1,33.0,8,1,25.5,8,1
2023/9/6,27.6,8,1,31.6,8,1,24.7,8,1
2023/9/7,26.9,8,1,29.9,8,1,24.5,8,1
2023/9/8,21.8,8,1,25.0,8,1,19.9,8,1
2023/9/9,24.8,8,1,29.1,8,1,22.0,8,1
2023/9/10,28.0,8,1,32.3,8,1,24.7,8,1
2023/9/11,27.6,8,1,31.9,8,1,25.6,8,1
2023/9/12,27.4,8,1,31.6,8,1,24.7,8,1
2023/9/13,27.7,8,1,33.2,8,1,23.7,8,1
2023/9/14,28.5,8,1,32.8,8,1,25.7,8,1
2023/9/15,28.3,8,1,32.9,8,1,26.3,8,1
2023/9/16,28.5,8,1,32.8,8,1,26.3,8,1
2023/9/17,29.0,8,1,33.0,8,1,27.2,8,1
2023/9/18,28.8,8,1,32.8,8,1,26.5,8,1
2023/9/19,28.7,8,1,32.9,8,1,25.9,8,1
2023/9/20,28.6,8,1,32.4,8,1,25.5,8,1
2023/9/21,27.0,8,1,28.2,8,1,25.1,8,1
2023/9/22,25.5,8,1,30.2,8,1,22.5,8,1
